age,unit,sex,indic_em,geo,year,employment
Y15-24,PC_POP,F,ACT,AT,2020 ,52.8 
Y15-24,PC_POP,F,ACT,BE,2020 ,26.5 
Y15-24,PC_POP,F,ACT,BG,2020 ,18.2 
Y15-24,PC_POP,F,ACT,CH,2020 ,64.6 
Y15-24,PC_POP,F,ACT,CY,2020 ,36.6 
Y15-24,PC_POP,F,ACT,CZ,2020 ,21.4 
Y15-24,PC_POP,F,ACT,DE,2020 ,49.5 bp
Y15-24,PC_POP,F,ACT,DK,2020 ,60.4 
Y15-24,PC_POP,F,ACT,EA19,2020 ,36.1 
Y15-24,PC_POP,F,ACT,EE,2020 ,41.1 
Y15-24,PC_POP,F,ACT,EL,2020 ,19.3 
Y15-24,PC_POP,F,ACT,ES,2020 ,27.5 
Y15-24,PC_POP,F,ACT,EU15,2020 ,: 
Y15-24,PC_POP,F,ACT,EU27_2020,2020 ,34.8 
Y15-24,PC_POP,F,ACT,EU28,2020 ,: 
Y15-24,PC_POP,F,ACT,FI,2020 ,51.4 
Y15-24,PC_POP,F,ACT,FR,2020 ,33.1 
Y15-24,PC_POP,F,ACT,FX,2020 ,33.4 
Y15-24,PC_POP,F,ACT,HR,2020 ,25.3 
Y15-24,PC_POP,F,ACT,HU,2020 ,26.9 
Y15-24,PC_POP,F,ACT,IE,2020 ,43.1 
Y15-24,PC_POP,F,ACT,IS,2020 ,75.4 b
Y15-24,PC_POP,F,ACT,IT,2020 ,18.8 
Y15-24,PC_POP,F,ACT,LT,2020 ,34.2 
Y15-24,PC_POP,F,ACT,LU,2020 ,31.0 
Y15-24,PC_POP,F,ACT,LV,2020 ,31.5 
Y15-24,PC_POP,F,ACT,ME,2020 ,24.8 
Y15-24,PC_POP,F,ACT,MK,2020 ,23.3 
Y15-24,PC_POP,F,ACT,MT,2020 ,52.1 
Y15-24,PC_POP,F,ACT,NL,2020 ,69.9 
Y15-24,PC_POP,F,ACT,NO,2020 ,55.7 
Y15-24,PC_POP,F,ACT,PL,2020 ,27.4 
Y15-24,PC_POP,F,ACT,PT,2020 ,28.0 
Y15-24,PC_POP,F,ACT,RO,2020 ,23.6 
Y15-24,PC_POP,F,ACT,RS,2020 ,21.1 
Y15-24,PC_POP,F,ACT,SE,2020 ,51.9 
Y15-24,PC_POP,F,ACT,SI,2020 ,28.7 
Y15-24,PC_POP,F,ACT,SK,2020 ,21.0 
Y15-24,PC_POP,F,ACT,TR,2020 ,27.4 
Y15-24,PC_POP,F,ACT,UK,2020 ,: 
Y15-24,PC_POP,F,EMP_LFS,AT,2020 ,47.8 
Y15-24,PC_POP,F,EMP_LFS,BE,2020 ,22.5 
Y15-24,PC_POP,F,EMP_LFS,BG,2020 ,15.7 
Y15-24,PC_POP,F,EMP_LFS,CH,2020 ,59.4 
Y15-24,PC_POP,F,EMP_LFS,CY,2020 ,32.1 
Y15-24,PC_POP,F,EMP_LFS,CZ,2020 ,19.5 
Y15-24,PC_POP,F,EMP_LFS,DE,2020 ,46.1 bp
Y15-24,PC_POP,F,EMP_LFS,DK,2020 ,54.0 
Y15-24,PC_POP,F,EMP_LFS,EA19,2020 ,30.0 
Y15-24,PC_POP,F,EMP_LFS,EE,2020 ,33.4 
Y15-24,PC_POP,F,EMP_LFS,EL,2020 ,11.7 
Y15-24,PC_POP,F,EMP_LFS,ES,2020 ,16.6 
Y15-24,PC_POP,F,EMP_LFS,EU15,2020 ,: 
Y15-24,PC_POP,F,EMP_LFS,EU27_2020,2020 ,29.0 
Y15-24,PC_POP,F,EMP_LFS,EU28,2020 ,: 
Y15-24,PC_POP,F,EMP_LFS,FI,2020 ,41.4 
Y15-24,PC_POP,F,EMP_LFS,FR,2020 ,26.5 
Y15-24,PC_POP,F,EMP_LFS,FX,2020 ,26.9 
Y15-24,PC_POP,F,EMP_LFS,HR,2020 ,19.0 
Y15-24,PC_POP,F,EMP_LFS,HU,2020 ,23.1 
Y15-24,PC_POP,F,EMP_LFS,IE,2020 ,36.5 
Y15-24,PC_POP,F,EMP_LFS,IS,2020 ,68.6 b
Y15-24,PC_POP,F,EMP_LFS,IT,2020 ,12.8 
Y15-24,PC_POP,F,EMP_LFS,LT,2020 ,28.3 
Y15-24,PC_POP,F,EMP_LFS,LU,2020 ,24.4 
Y15-24,PC_POP,F,EMP_LFS,LV,2020 ,26.7 
Y15-24,PC_POP,F,EMP_LFS,ME,2020 ,15.0 
Y15-24,PC_POP,F,EMP_LFS,MK,2020 ,14.3 
Y15-24,PC_POP,F,EMP_LFS,MT,2020 ,47.9 
Y15-24,PC_POP,F,EMP_LFS,NL,2020 ,63.6 
Y15-24,PC_POP,F,EMP_LFS,NO,2020 ,49.8 
Y15-24,PC_POP,F,EMP_LFS,PL,2020 ,24.2 
Y15-24,PC_POP,F,EMP_LFS,PT,2020 ,21.2 
Y15-24,PC_POP,F,EMP_LFS,RO,2020 ,19.7 
Y15-24,PC_POP,F,EMP_LFS,RS,2020 ,14.9 
Y15-24,PC_POP,F,EMP_LFS,SE,2020 ,40.1 
Y15-24,PC_POP,F,EMP_LFS,SI,2020 ,24.0 
Y15-24,PC_POP,F,EMP_LFS,SK,2020 ,16.5 
Y15-24,PC_POP,F,EMP_LFS,TR,2020 ,19.2 
Y15-24,PC_POP,F,EMP_LFS,UK,2020 ,: 
Y15-24,PC_POP,M,ACT,AT,2020 ,59.5 
Y15-24,PC_POP,M,ACT,BE,2020 ,30.3 
Y15-24,PC_POP,M,ACT,BG,2020 ,25.4 
Y15-24,PC_POP,M,ACT,CH,2020 ,65.4 
Y15-24,PC_POP,M,ACT,CY,2020 ,40.2 
Y15-24,PC_POP,M,ACT,CZ,2020 ,32.9 
Y15-24,PC_POP,M,ACT,DE,2020 ,54.5 bp
Y15-24,PC_POP,M,ACT,DK,2020 ,60.1 
Y15-24,PC_POP,M,ACT,EA19,2020 ,41.4 
Y15-24,PC_POP,M,ACT,EE,2020 ,42.9 
Y15-24,PC_POP,M,ACT,EL,2020 ,23.1 
Y15-24,PC_POP,M,ACT,ES,2020 ,32.2 
Y15-24,PC_POP,M,ACT,EU15,2020 ,: 
